order_id,customer,product,quantity,unit_price,order_date
1,Customer_4,Laptop,5.0,49.99,2024-04-08
2,Customer_5,Keyboard,,599.99,2024-12-18
3,Customer_3,Mouse,2.0,,2024-01-03
4,Customer_7,Phone,3.0,299.99,2024-01-18
5,Customer_7,Keyboard,5.0,599.99,2024-09-14
6,Customer_8,Monitor,3.0,49.99,2024-01-25
7,Customer_6,Keyboard,2.0,49.99,2024-05-05
8,Customer_7,Tablet,,,2024-07-04
9,Customer_12,Tablet,3.0,49.99,2024-01-24
10,Customer_15,Mouse,,99.99,2024-02-18
11,Customer_10,Keyboard,3.0,999.99,2024-06-19
12,Customer_7,Keyboard,,,2024-11-08
13,Customer_10,Laptop,-1.0,999.99,2024-02-13
14,Customer_9,Monitor,5.0,999.99,2024-06-06
15,Customer_12,Tablet,-1.0,599.99,2024-05-23
16,Customer_3,Mouse,5.0,-50.0,2024-09-24
17,Customer_8,Phone,2.0,99.99,2024-05-21
18,Customer_18,Phone,5.0,49.99,2024-01-08
19,Customer_2,Tablet,2.0,49.99,2024-02-07
20,Customer_19,Keyboard,1.0,-50.0,2024-11-16
21,Customer_13,Keyboard,2.0,-50.0,2024-05-05
22,Customer_8,Keyboard,3.0,299.99,2024-05-24
23,Customer_19,Monitor,3.0,99.99,2024-06-08
24,Customer_5,Mouse,2.0,,2024-01-28
25,Customer_4,Phone,5.0,-50.0,2024-11-14
26,Customer_20,Laptop,2.0,99.99,2024-10-15
27,Customer_17,Tablet,3.0,999.99,2024-01-22
28,Customer_4,Keyboard,3.0,999.99,2024-05-25
29,Customer_11,Laptop,1.0,99.99,2024-03-15
30,Customer_1,Keyboard,5.0,49.99,2024-09-25
31,Customer_6,Mouse,,999.99,2024-11-10
32,Customer_17,Mouse,-1.0,-50.0,2024-06-25
33,Customer_6,Mouse,3.0,,2024-10-11
34,Customer_16,Laptop,,49.99,2024-05-08
35,Customer_2,Phone,3.0,,2024-02-24
36,Customer_16,Laptop,3.0,999.99,2024-03-05
37,Customer_16,Mouse,-1.0,49.99,2024-09-28
38,Customer_20,Monitor,-1.0,299.99,2024-12-23
39,Customer_7,Keyboard,1.0,99.99,2024-11-21
